groupId,artifactId,mcrTags
asm,asm-debug-all,"bytecode,debug"
org.apache.nifi,nifi-hbase_2-client-service,"database,service,apache,client,hbase"
org.apache.samza,samza-kv-rocksdb_2.11,"apache,rocksdb"
org.apache.edgent,edgent-connectors-http,"apache,connector,http"
org.apache.calcite,calcite-babel,apache
com.dracoon,dracoon-crypto-sdk,"cryptography,sdk"
org.wso2.carbon.automation,org.wso2.carbon.automation.api,api
org.talend.esb.auxiliary.storage,auxiliary-storage-features,"esb,storage"
org.apache.edgent.java7,edgent-connectors-iot,"apache,connector"
org.apache.pinot,pinot-common,apache
io.quarkus,quarkus-panacheql,io
org.jboss.osgi.metadata,jbosgi-metadata,"jboss,metadata,osgi"
org.apache.camel.quarkus,camel-quarkus-aws2-msk,"aws,amazon,apache,camel"
org.jboss.arquillian.container,arquillian-jetty-embedded-9,"embedded,server,container,webserver,jboss,jetty"
org.quartz-scheduler.wso2,quartz,scheduling
org.apache.servicecomb.toolkit,oas-validator-compatibility,"tools,compatibility,apache,toolkit,validation"
io.stargate.metrics,metrics-jersey,"webservice,metrics,io"
org.springframework.cloud,spring-cloud-dataflow-core-dsl,"spring,cloud,dsl"
org.dashbuilder,dashbuilder-cms-client,client
org.apache.nifi,nifi-kite-processors,"apache,processor"
org.eclipse.jgit,org.eclipse.jgit.lfs,"eclipse,git"
io.quarkus,quarkus-resteasy-jackson,io
com.facebook.presto,presto-server,"server,facebook"
com.alibaba.jvm.sandbox,sandbox-api,api
org.jeasy,easy-rules-support,"support,rules"
io.quarkus,quarkus-oidc-common,io
ddf.catalog.core,versioning-api,api
org.apache.tomee,openejb-provisionning,"ejb,apache"
org.apache.isis.core,isis-core-runtime,"apache,runtime"
io.bdrc,mcouch-ektorp,io
tk.mybatis,mapper-core,"persistence,mapping"
com.mycila.com.google.inject,guice,"google,dependency-injection"
com.google.cloud,spring-cloud-gcp-starter-cloudfoundry,"google,spring,cloud,starter"
org.odpi.egeria,rex-view-spring,"spring,view"
io.vlingo.xoom,xoom-auth,"authentication,io"
org.wildfly.core,wildfly-subsystem-test-framework,"framework,testing"
com.yomahub,tlog-gateway,gateway
com.gluonhq.attachextended,log,logging
org.slf4j,slf4j-jcl,"logging,bridge,slf4j"
org.testcontainers,junit-jupiter,"junit,testing"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.decompounding-model-splitter-de-grfExt,model
org.testfx,testfx-junit5,"junit,testing"
ro.pippo,pippo-controller,controller
dk.dma.ais.lib,ais-lib-messages,library
org.apache.hbase,hbase-common,"database,hadoop,apache,hbase"
org.xwiki.platform,xwiki-platform-store-merge-default,platform
org.apache.flink,flink-shaded-guava,apache
com.microsoft.azure,azure-keyvault-cryptography,"cryptography,azure"
org.apache.maven,maven-project-builder,"build,builder,build-system,maven,apache"
org.apache.camel.quarkus,camel-quarkus-servicenow,"apache,camel"
org.apache.rya,rya.api.evaluation,"apache,api,evaluation"
com.googlecode.wicket-jquery-ui,wicket-kendo-ui-theme-bootstrap,"ui,jquery,wicket,bootstrap"
net.sourceforge.htmlcleaner,htmlcleaner,"html,parser"
org.gradle,gradle-native,"native,build,build-system,gradle,groovy"
org.openhab.addons.bundles,org.openhab.binding.rfxcom,"binding,bundle"
org.glassfish,javax.annotation,annotations
cn.springcloud.gray,spring-cloud-gray-plugin-eureka,"plugin,spring,cloud"
com.oracle.oci.sdk,oci-java-sdk-addons-apache,"sdk,apache"
org.apache.nifi,nifi-druid-processors,"apache,processor"
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake,"azure,apache,storage,camel"
org.apache.camel.quarkus,camel-quarkus-weka,"apache,machine-learning,camel"
com.google.code.simple-spring-memcached,spymemcached,"google,spring,memcached"
com.github.braisdom,mangosdk-spi,"github,interface"
io.quarkus,quarkus-test-oidc-server,"server,testing,io"
com.github.javafaker,javafaker,github
net.kyori,adventure-platform-bukkit,platform
io.ebean,ebean-redis,"io,redis,database"
org.eclipse.leshan,leshan-server-cf,"server,eclipse"
org.apache.omid,omid-hbase-client-hbase2.x,"database,apache,client,hbase"
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api,"module,beans,apache,api"
org.camunda.spin,camunda-spin-dataformat-json-jackson,json
io.quarkus,quarkus-qute,io
org.apache.servicemix.bundles,org.apache.servicemix.bundles.aws-java-sdk,"aws,amazon,bundle,esb,sdk,apache"
net.spy,spymemcached,"cache,client"
com.navercorp.pinpoint,pinpoint-commons-hbase,"database,hbase"
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter,"database,data,spring,graph,neo4j,starter"
org.apache.apex,apex-shaded-ning19,apache
io.gravitee.node,gravitee-node-kubernetes,"kubernetes,io"
org.activiti,activiti-api-task-model,"model,bpm,api"
org.graphfoundation.ongdb,ongdb-geequel-interpreted-runtime,runtime
io.micronaut,micronaut-inject,"io,dependency-injection"
org.apache.knox,gateway-discovery-cm,"gateway,apache,discovery"
org.wildfly.swarm,webservices-modules,"module,webservice"
org.openimaj,image-local-features,image
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature,"server,authentication,identity"
com.google.code.cli-parser,cli,"parser,google,command-line,cli"
org.eclipse.rap,org.eclipse.rap.rwt,eclipse
