repositoryName,mcrTags
xwiki/xwiki-platform,[platform]
apache/httpcomponents-client,"[cache,client]"
chubaostream/joyqueue,"[apache,database,hadoop,hbase]"
FenixEdu/fenixedu-academic,"[html,parser]"
apache/camel-quarkus,"[amazon,apache,aws,azure,camel,machine-learning,storage]"
apache/servicecomb-toolkit,"[apache,compatibility,toolkit,tools,validation]"
apache/camel,"[junit,testing]"
apache/rya,"[apache,api,evaluation]"
infinispan/infinispan,"[cache,client]"
locationtech/geowave,"[apache,database,hadoop,hbase]"
alibaba/DataX,"[apache,database,google,hadoop,hbase,memcached,spring]"
twitter/hraven,"[apache,database,hadoop,hbase]"
baremaps/baremaps,"[junit,testing]"
spring-cloud/spring-cloud-dataflow-samples,"[junit,testing]"
GoogleCloudPlatform/spring-cloud-gcp,"[cloud,google,spring,starter]"
stargate/stargate,"[io,metrics,webservice]"
apache/skywalking-java,"[cache,client]"
Talend/tdi-studio-se,"[apache,database,hadoop,hbase]"
apache/isis,"[apache,github,runtime]"
apache/nifi,"[apache,client,database,hbase,processor,service]"
adorsys/keycloak-config-cli,"[junit,testing]"
mongock/mongock,"[junit,testing]"
apache/kylin,"[apache,cache,client,database,hadoop,hbase]"
hazelcast/hazelcast,"[cache,client]"
togglz/togglz,"[junit,testing]"
eclipse/leshan,"[eclipse,server]"
apache/incubator-retired-htrace,"[apache,database,hadoop,hbase]"
keycloak/keycloak,"[framework,testing]"
mcMMO-Dev/mcMMO,[platform]
abel533/Mapper,"[mapping,persistence]"
apache/james-project,"[junit,testing]"
oracle/helidon,"[dependency-injection,io]"
wso2/micro-integrator,"[api,scheduling]"
gravitee-io/gravitee-api-management,"[io,kubernetes]"
hapifhir/hapi-fhir,"[junit,testing]"
pac4j/pac4j,[io]
odpi/egeria,"[spring,view]"
spring-projects/spring-data-examples,[github]
cdapio/cdap,"[apache,database,hadoop,hbase]"
pinpoint-apm/pinpoint,"[database,hbase]"
apiman/apiman,"[junit,testing]"
spring-cloud/spring-cloud-core-tests,"[junit,testing]"
alibaba/alibaba-rsocket-broker,[github]
NightWhistler/HtmlSpanner,"[html,parser]"
KylinOLAP/Kylin,"[apache,database,hadoop,hbase]"
eclipse/deeplearning4j,"[eclipse,git]"
hadooparchitecturebook/hadoop-arch-book,"[apache,database,hadoop,hbase]"
apache/hbase,"[apache,cache,client,database,hadoop,hbase]"
apache/hop,"[apache,eclipse,github]"
INRIA/spoon,"[io,junit,testing]"
eclipse/jkube,"[build,build-system,gradle,groovy,io,native]"
Vedenin/useful-java-links,[annotations]
apache/shiro,[github]
dkpro/dkpro-core,[model]
roskenet/springboot-javafx-support,"[junit,testing]"
PGMDev/PGM,[platform]
dma-ais/AisLib,[library]
dromara/TLog,[gateway]
apache/deltaspike,"[apache,api,beans,module]"
apache/hive,"[apache,database,hadoop,hbase]"
siddhi-io/siddhi,[scheduling]
openimaj/openimaj,[image]
xuhuisheng/lemon,"[cache,client]"
apache/archiva,"[cli,command-line,google,parser]"
braisdom/ObjectiveSql,"[github,interface]"
sofastack/sofa-common-tools,"[bridge,logging,slf4j]"
eugenp/tutorials,"[github,html,io,junit,parser,testing]"
yahoo/Oak,"[cache,client]"
apache/pinot,[apache]
eliasnogueira/selenium-java-lean-test-architecture,[github]
larsgeorge/hbase-book,"[apache,database,hadoop,hbase]"
GoogleCloudPlatform/java-docs-samples,"[cache,client,dependency-injection,io]"
wiverson/maven-jpackage-template,[github]
objectify/objectify,"[cache,client]"
thombergs/code-examples,"[junit,testing]"
framiere/a-kafka-story,[github]
allwefantasy/ServiceFramework,"[dependency-injection,google]"
warmuuh/milkman,"[junit,testing]"
openlookeng/hetu-core,"[apache,database,hadoop,hbase]"
apache/phoenix,"[apache,client,database,hadoop,hbase]"
DTStack/flinkx,"[apache,database,hadoop,hbase]"
vlingo/xoom-examples,"[authentication,io]"
noear/solon,"[cache,client]"
adobe/S3Mock,"[junit,testing]"
HotswapProjects/HotswapAgent,"[apache,api,beans,module]"
quarkusio/quarkus,"[io,server,testing]"
94fzb/zrlog,"[html,parser]"
wso2/product-is,"[authentication,identity,server]"
gluonhq/gluon-samples,[logging]
wso2/product-ei,"[api,scheduling]"
apache/bahir-flink,"[junit,testing]"
rieckpil/blog-tutorials,"[github,junit,testing]"
psiegman/epublib,"[html,parser]"
apache/incubator-retired-edgent,"[apache,connector,http]"
goldmansachs/obevo,"[cli,command-line,google,parser]"
radargun/radargun,"[cache,client]"
wgzhao/Addax,"[apache,database,hadoop,hbase]"
apache/druid,"[cache,client]"
davetcc/tcMenu,"[junit,testing]"
confluentinc/parallel-consumer,"[junit,testing]"
oracle/oci-java-sdk,"[apache,sdk]"
webanno/webanno,"[bootstrap,jquery,ui,wicket]"
brianfrankcooper/YCSB,"[cache,client]"
dgadiraju/code,"[apache,database,hadoop,hbase]"
dbs-leipzig/gradoop,"[apache,database,hadoop,hbase]"
jbosstm/narayana,"[jboss,metadata,osgi]"
Tanaguru/Tanaguru,"[html,parser]"
Asqatasun/Asqatasun,"[html,parser]"
hopshadoop/hops,"[cache,client]"
wildfly-swarm-archive/ARCHIVE-wildfly-swarm,"[module,webservice]"
gaia-app/gaia,"[junit,testing]"
spring-io/spring-javaformat,"[junit,testing]"
zalando/opentracing-toolbox,[annotations]
virjar/dungproxy,"[html,parser]"
JorelAli/CommandAPI,[platform]
resteasy/resteasy,"[container,embedded,jboss,jetty,server,webserver]"
vinsguru/vinsguru-blog-code-samples,[github]
apache/samza-hello-samza,"[apache,rocksdb]"
code4craft/webmagic,"[html,parser]"
metersphere/metersphere,"[html,parser]"
dashbuilder/dashbuilder,[client]
opencast/opencast,"[amazon,apache,aws,bundle,esb,sdk]"
apache/tomee,"[apache,ejb]"
apache/maven,"[apache,build,build-system,builder,maven]"
camelinaction/camelinaction2,"[container,embedded,jboss,jetty,server,webserver]"
ModeShape/modeshape,"[framework,testing]"
microcks/microcks,[github]
alibaba/jvm-sandbox,[api]
camunda-consulting/code,"[bridge,json,logging,slf4j]"
Azure/azure-sdk-for-java,"[azure,cryptography]"
spring-cloud/spring-cloud-dataflow,"[cloud,dsl,spring]"
BetonQuest/BetonQuest,[platform]
thinkaurelius/titan,"[bytecode,debug]"
iterate-ch/cyberduck,"[cryptography,sdk]"
RyanSusana/elepy,"[junit,testing]"
j-easy/easy-random,[github]
ityouknow/spring-boot-examples,"[cache,client]"
openhab/openhab-addons,"[binding,bundle]"
codice/ddf,[api]
apache/hudi,"[apache,database,hadoop,hbase]"
cloudera-labs/envelope,"[apache,database,hadoop,hbase]"
ChestShop-authors/ChestShop-3,[platform]
pippo-java/pippo,"[cache,client,controller]"
OneBusAway/onebusaway-application-modules,"[google,memcached,spring]"
jobrunr/jobrunr,"[junit,testing]"
thingsboard/thingsboard,"[eclipse,server]"
latexdraw/latexdraw,"[junit,testing]"
adamkewley/jobson,[github]
Talend/tesb-rt-se,"[esb,storage]"
ragnor/simple-spring-memcached,"[cache,client]"
apache/ignite,"[google,memcached,spring]"
apache/apex-malhar,"[apache,cache,client]"
Impetus/Kundera,"[apache,database,hadoop,hbase]"
majusko/pulsar-java-spring-boot-starter,"[junit,testing]"
rhq-project/rhq,"[bridge,logging,slf4j]"
SpringCloud/spring-cloud-gray,"[cloud,plugin,spring]"
syndesisio/syndesis,"[junit,testing]"
GuoGuang/madao_service,[github]
Activiti/Activiti,"[api,bpm,model]"
gudaoxuri/dew,"[junit,testing]"
oracle/coherence,"[cache,client]"
apache/syncope,"[bootstrap,jquery,ui,wicket]"
wicketstuff/core,"[cache,client]"
humank/ddd-practitioners-ref,[io]
heibaiying/BigData-Notes,"[apache,database,hadoop,hbase]"
jhipster/jhipster,"[data,database,graph,neo4j,spring,starter]"
ebean-orm/ebean,"[database,io,redis]"
prestodb/presto,"[facebook,server]"
payara/Payara,"[junit,testing]"
spring-cloud-samples/spring-cloud-contract-samples,"[junit,testing]"
rythmengine/rythmengine,"[cache,client]"
smart-doc-group/smart-doc,[github]
cdapio/tephra,"[apache,database,hadoop,hbase]"
estatio/estatio,[github]
IoT-Technology/IoT-Technical-Guide,"[eclipse,server]"
apache/knox,"[apache,discovery,gateway]"
mirkosertic/Bytecoder,"[bridge,logging,slf4j]"
streamxhub/jobx,"[cache,client]"
apache/iotdb,"[bridge,logging,slf4j]"
spring-cloud/stream-applications,"[junit,testing]"
alexxiyang/shiro-redis,[github]
hantsy/spring-reactive-sample,"[data,database,graph,junit,neo4j,spring,starter,testing]"
j-easy/easy-rules,"[rules,support]"
dhis2/dhis2-core,[github]
pulsarIO/jetstream,"[bridge,logging,slf4j]"
SeldonIO/seldon-server,"[bridge,cache,client,logging,slf4j]"
apache/apex-core,[apache]
graphfoundation/ongdb,[runtime]
speedment/speedment,"[junit,testing]"
lyb-geek/springboot-learning,[github]
gridgain/gridgain-old,"[google,memcached,spring]"
